Jaune bouton d’or,246,220,18
Jaune canari,231,240,13
Jaune citron,247,255,60
Jaune d'or,239,216,7
Jaune de chrome (pigment),237,255,12
Jaune de Mars,238,209,83
Jaune de Naples (pigment),255,240,188
Jaune fleur de soufre,255,255,107
Jaune impérial,255,228,54
Jaune maïs,255,222,117
Jaune mimosa,254,248,108
Jaune moutarde,199,207,0
Jaune nankin,247,226,105
Jaune paille,254,227,71
Jaune poussin,247,227,95
Jaune soufre,255,255,107
Lapis-lazuli,38,97,156
Lavallière (reliure),143,89,34
Lavande,150,131,236
Lie de vin,172,30,68
Lilas,182,102,210
Lin,250,240,230
Maduro (cigare),55,47,37
Maduro colorado (cigare),91,60,17
Magenta secondaire,255,0,255
Magenta fushia (encre),219,0,115
Magenta foncé,128,0,128
Maïs,255,222,117
Malachite,31,160,85
Mandarine,254,163,71
Marine,3,34,76
Marron,88,41,0
Mastic,179,177,145
Mauve,212,115,212
Melon,222,152,22
Menthe,22,184,78
Menthe à l'eau,84,249,141
Miel,218,179,10
Mordoré,135,89,26
Moreau (chevaux),0,0,0
Moutarde,199,207,0
Nacarat,252,93,93
Nankin,247,226,105
Neige,254,254,254
Noir,0,0,0
Noir animal,0,0,0
Noir charbon,0,0,16
Noir d'aniline,18,13,22
Noir d'encre,0,0,0
Noir d'ivoire (pigment),0,0,0
Noir de carbone (pigment),19,14,10
Noir de fumée (pigment),19,14,10
Noir de jais,0,0,0
"Noiraud (teint , cheveux)",47,30,14
Noisette,149,86,40
Ocre rouge,221,152,92
Ocre jaune,223,175,44
Olive,112,141,35
Opalin,242,255,255
Or,255,215,0
Orange,237,127,16
Orange brûlée,204,85,0
Orchidée,218,112,214
Orpiment,252,210,28
Orpin de Perse,252,210,28
Oscuro (cigare),41,33,7
Paille,254,227,71
Papaye,255,239,213
Papier bulle,237,211,140
Parme,207,160,233
Passe-velours,145,40,59
Pastel,86,115,154
Pêche,253,191,183
Pelure d'oignon (œnologie),213,132,144
Pervenche,204,204,255
Pinchard (chevaux vieilli),204,204,204
Pistache,190,245,116
Platine,250,240,197
Plomb,121,128,129
Poil de chameau,182,120,35
Ponceau,198,8,0
Mauve (héraldique),150,85,120
Pourpre,158,14,64
Prasin,76,166,107
Prune,129,20,83
Puce,78,22,9
Queue-de-renard,145,40,59
Queue-de-vache foncé,168,152,116
Queue-de-vache clair,195,180,112
Réglisse,45,36,30
Rose,253,108,158
Rose balais (minéraux),196,105,143
Rose bonbon,249,66,158
Rose dragée,254,191,210
Rose fuchsia,253,63,146
Rose Mountbatten,153,122,141
Rose thé,255,134,106
Rouge vif,255,0,0
Rouge Andrinople,169,17,1
Rouge anglais,247,35,12
Rouge Bismarck,165,38,10
Rouge bordeaux,109,7,26
Rouge bourgogne,107,13,13
Rouge capucine,255,94,77
Rouge cardinal,184,32,16
Rouge carmin,150,0,24
Rouge cerise,187,11,11
Rouge cinabre,219,23,2
Rouge coquelicot,198,8,0
Rouge d'alizarine (pigment),217,1,21
Rouge d'Andrinople,169,17,1
Rouge d'aniline,237,0,0
Rouge de Mars (pigment),247,35,12
Rouge écrevisse,188,32,1
Rouge feu,254,27,0
Rouge fraise,191,48,48
Rouge framboise,199,44,72
Rouge grenadine,233,56,63
Rouge grenat,110,11,20
Rouge groseille,207,10,29
Rouge magenta ou rouge primaire,199,21,133
Rouge ponceau,198,8,0
Rouge sang,133,6,6
Rouge tomate,222,41,22
Rouge tomette,174,74,52
Rouge turc,169,17,1
Rouge vermillon,219,23,2
Rouille,152,87,23
Roux,173,79,9
Sable (héraldique),0,0,0
Sable,224,205,169
Safran,243,214,23
Safre,1,49,180
Sang de bœuf,115,8,0
Sanguine (héraldique),133,6,6
Saphir,1,49,180
Sarcelle,0,142,142
Saumon,248,142,85
Senois (héraldique),141,64,36
Sépia,174,137,100
Sinople (héraldique),20,148,20
Smalt,0,51,153
Smaragdin,1,215,88
Soufre,255,255,107
Souris,158,158,158
Tabac,159,85,30
Tanné (héraldique),167,85,2
Tangerine (couleur),0,255,127
Taupe,70,63,50
Terre d'ombre,146,109,39
Terre de Sienne,142,84,52
Terre de Sienne brûlée,150,124,92
Tomate,222,41,22
Topaze,250,234,115
Tourterelle,187,172,172
Turquoise,37,253,233
Vanille,225,206,154
Ventre de biche,233,201,177
Vermeil,255,9,33
Vermillon,219,23,2
Vert primaire,0,255,0
Vert absinthe,127,221,76
Vert amande,130,196,108
Vert anis,159,232,85
Vert avocat,86,130,3
Vert bouteille,9,106,9
Vert céladon,131,166,151
Vert chartreuse,194,247,50
Vert d'eau,176,242,182
Vert de chrome ou anglais (pigment),24,57,30
Vert de gris,149,165,149
Vert de Hooker,27,79,8
Vert de vessie,34,120,15
Vert émeraude ou Smaragdin,1,215,88
Vert épinard,23,87,50
Vert gazon ou herbe,58,157,35
Vert impérial,0,86,27
Vert jade,135,233,144
Vert kaki,121,137,51
Vert lichen,133,193,126
Vert lime,158,253,56
Vert malachite,31,160,85
Vert mélèze,56,111,72
Vert menthe,22,184,78
Vert menthe à l'eau,84,249,141
Vert militaire,89,102,67
Vert mousse,103,159,90
Vert olive,112,141,35
Vert opaline,151,223,198
Vert perroquet,58,242,75
Vert pin,1,121,111
Vert pistache,190,245,116
Vert poireau ou prasin,76,166,107
Vert pomme,52,201,36
Vert prairie,87,213,59
Vert printemps,0,254,126
Vert sapin,9,82,40
Vert sauge,104,157,113
Vert tilleul,165,209,82
Vert turquoise,31,254,216
Vert Véronèse (pigment),90,101,33
Violet,136,6,206
Violet d'évêque,114,62,100
Violine,161,6,132
Viride,64,130,109
Zinzolin,108,2,119
